    55.16	 17 01 08.36	-30 06 42.15	     0.96	     0.75	    150.5	     5.92	5.699e-15	3.964e-15	1.452e-15	5.363e-16
    56.91	 17 01 16.87	-30 06 57.41	     1.02	     0.79	    145.7	     2.49	8.178e-16	4.355e-16	3.343e-16	1.547e-16
    58.83	 17 01 14.37	-30 05 50.32	     0.77	     0.74	    152.4	     3.59	1.473e-15	8.035e-16	4.736e-16	2.393e-16
    62.13	 17 01 12.57	-30 07 46.62	     1.26	     0.86	    141.3	     2.65	3.823e-16	0.000e+00	0.000e+00	4.134e-16
    66.59	 17 01 10.62	-30 05 43.08	     0.75	     0.74	    143.3	     4.13	3.264e-15	2.634e-15	5.585e-16	2.939e-16
    85.36	 17 01 09.37	-30 05 30.14	     0.84	     0.76	    164.3	     3.59	1.778e-15	1.203e-15	0.000e+00	8.669e-16
    85.87	 17 01 18.78	-30 07 15.31	     1.29	     0.92	    130.4	     2.10	3.538e-15	3.655e-15	    0     	0.000e+00
    90.59	 17 01 05.79	-30 07 04.39	     0.93	     0.78	    159.7	     4.78	2.104e-15	4.658e-16	8.551e-16	8.434e-16
    92.82	 17 01 06.54	-30 05 55.34	     1.20	     1.20	      0.0	     2.15	1.973e-15	1.915e-15	0.000e+00	2.378e-16
    95.51	 17 01 07.80	-30 05 32.16	     1.51	     1.19	    103.1	     2.58	1.702e-15	1.334e-15	3.354e-16	1.986e-16
    96.12	 17 01 05.45	-30 07 09.33	     1.80	     1.17	    158.1	     1.83	0.000e+00	0.000e+00	3.825e-16	0.000e+00
    97.66	 17 01 05.65	-30 07 21.87	     1.05	     1.05	      0.0	     3.09	1.974e-15	1.439e-15	3.928e-16	2.079e-16
    98.55	 17 01 16.83	-30 05 22.65	     0.72	     0.71	    162.8	     9.22	1.673e-14	1.345e-14	3.139e-15	5.758e-16
    98.74	 17 01 05.05	-30 06 56.28	     0.77	     0.73	    157.7	     8.94	8.054e-15	2.785e-15	1.539e-15	3.948e-15
    99.54	 17 01 13.67	-30 05 05.92	     0.94	     0.85	     16.2	     2.10	1.625e-16	   0      	   0      	3.024e-16
   110.63	 17 01 20.16	-30 07 35.63	     1.58	     0.97	    124.4	     2.76	1.807e-15	1.338e-15	4.981e-16	0.000e+00
   115.88	 17 01 21.02	-30 06 05.92	     0.87	     0.81	    126.0	     2.00	1.780e-16	    0     	    0     	2.373e-16
   127.07	 17 01 11.58	-30 04 38.12	     0.88	     0.84	    171.0	     1.74	0.000e+00	    0     	    0     	2.126e-16
   127.10	 17 01 04.23	-30 07 50.54	     1.98	     1.17	    167.5	     2.26	2.212e-15	1.863e-15	2.738e-16	1.353e-16
   128.02	 17 01 02.76	-30 06 53.18	     1.20	     0.85	    174.8	     4.26	1.810e-15	5.173e-16	3.651e-16	9.947e-16
